State,State ID,County,County ID,Population,Poverty Rate
CO,08,La Plata,067,53994.0,10.314108975071305
CO,08,Larimer,069,325228.0,12.803325666916747
CO,08,Las Animas,071,14322.0,13.447842480100544
CO,08,Lincoln,073,5515.0,10.825022665457842
CO,08,Logan,075,21862.0,15.524654651907419
CO,08,Mesa,077,148166.0,15.950352982465613
CO,08,Mineral,079,793.0,8.19672131147541
CO,08,Moffat,081,13034.0,10.88691115543962
CO,08,Montezuma,083,26006.0,18.499577020687532
CO,08,Montrose,085,40866.0,17.80942592864484
CO,08,Morgan,087,28288.0,10.555712669683258
CO,08,Otero,089,18440.0,22.52711496746204
CO,08,Ouray,091,4651.0,9.13781982369383
CO,08,Park,093,16440.0,6.21654501216545
CO,08,Phillips,095,4347.0,11.709224752703014
CO,08,Pitkin,097,17543.0,8.59032092572536
CO,08,Prowers,099,12121.0,19.981849682369443
CO,08,Pueblo,101,162158.0,19.676488363201322
CO,08,Rio Blanco,103,6658.0,11.835386001802343
CO,08,Rio Grande,105,11623.0,18.70429321173535
CO,08,Routt,107,23980.0,10.041701417848207
CO,08,Saguache,109,6255.0,22.5259792166267
CO,08,San Juan,111,552.0,3.8043478260869565
CO,08,San Miguel,113,7767.0,11.883610145487317
CO,08,Sedgwick,115,2367.0,14.448669201520913
CO,08,Summit,117,29269.0,12.033209197444394
CO,08,Teller,119,23472.0,7.4642126789366054
CO,08,Washington,121,4814.0,10.988782717075198
CO,08,Weld,123,278065.0,12.245338320176938
CO,08,Yuma,125,10150.0,14.374384236453203
CT,09,Fairfield,001,941618.0,8.660943185028323
CT,09,Hartford,003,895699.0,11.257129906363634
CT,09,Litchfield,005,185141.0,6.862877482567341
CT,09,Middlesex,007,164438.0,6.8068208078424695
CT,09,New Haven,009,860874.0,12.40553205230963
CT,09,New London,011,272033.0,9.42716508658876
CT,09,Tolland,013,151689.0,6.080203574418712
CT,09,Windham,015,117078.0,10.692017287620219
DE,10,Kent,001,171474.0,12.751787442994273
DE,10,New Castle,003,551997.0,11.017632342204758
DE,10,Sussex,005,211224.0,12.671382039919706
DC,11,District of Columbia,001,659009.0,17.00432012309392
FL,12,Alachua,001,256581.0,22.75577692814355
FL,12,Baker,003,27312.0,16.556824838898653
FL,12,Bay,005,178361.0,15.341358256569542
FL,12,Bradford,007,26919.0,16.93599316467922
FL,12,Brevard,009,560683.0,13.79692268180059
FL,12,Broward,011,1863780.0,14.246370279754048
FL,12,Calhoun,013,14550.0,11.154639175257731
FL,12,Charlotte,015,169642.0,12.09075582697681
FL,12,Citrus,017,140453.0,17.378767274461918
FL,12,Clay,019,200346.0,10.104020045321594
FL,12,Collier,021,348236.0,13.029956696033723
FL,12,Columbia,023,68198.0,17.931610897680283
FL,12,DeSoto,027,35134.0,28.23475835373143
FL,12,Dixie,029,16084.0,19.329768714250186
FL,12,Duval,031,900890.0,16.234168433438043
FL,12,Escambia,033,309574.0,13.784103316169963
FL,12,Flagler,035,102917.0,13.071698553203067
FL,12,Franklin,037,11705.0,17.599316531396838
FL,12,Gadsden,039,46153.0,23.924771954152494
FL,12,Gilchrist,041,17033.0,21.898667292902015
FL,12,Glades,043,13420.0,18.628912071535023
FL,12,Gulf,045,15851.0,13.046495489243581
FL,12,Hamilton,047,14362.0,20.630831360534746
FL,12,Hardee,049,27302.0,24.59893048128342
FL,12,Hendry,051,38376.0,25.474254742547426
FL,12,Hernando,053,176797.0,15.370735928777073
FL,12,Highlands,055,98862.0,19.106431186907002
FL,12,Hillsborough,057,1323059.0,16.14183494462454
FL,12,Holmes,059,19569.0,23.358372936787777
FL,12,Indian River,061,145342.0,13.968433075091852
FL,12,Jackson,063,48721.0,19.139590730896327
FL,12,Jefferson,065,14082.0,12.95980684561852
FL,12,Lafayette,067,8742.0,14.55044612216884
FL,12,Lake,069,317586.0,13.332451682378947
FL,12,Lee,071,680970.0,15.304492121532519
FL,12,Leon,073,284788.0,20.417995140244674
FL,12,Levy,075,39707.0,21.789608885083236
FL,12,Liberty,077,8285.0,13.84429692214846
FL,12,Madison,079,18560.0,25.339439655172413
FL,12,Manatee,081,353411.0,14.174431469309106
FL,12,Marion,083,340341.0,17.707534502161067
FL,12,Martin,085,153592.0,11.561800093754883
FL,12,Miami-Dade,086,2664418.0,19.596887575447997
FL,12,Monroe,087,77150.0,12.72197018794556
FL,12,Nassau,089,77187.0,12.569474134245404
FL,12,Okaloosa,091,195798.0,11.655379523794931
FL,12,Okeechobee,093,39420.0,23.097412480974125
FL,12,Orange,095,1256055.0,16.886601303286877
FL,12,Osceola,097,311962.0,19.311005827632854
FL,12,Palm Beach,099,1398757.0,13.669779668662963
FL,12,Pasco,101,488310.0,13.331899817738732
FL,12,Pinellas,103,939548.0,13.913818133826053
FL,12,Polk,105,637691.0,17.28501735166405
FL,12,Putnam,107,72304.0,26.44390351847754
FL,12,St. Johns,109,218362.0,8.871506947179455
FL,12,St. Lucie,111,293136.0,17.720443753070246
FL,12,Santa Rosa,113,163903.0,11.794170942569691
FL,12,Sarasota,115,398011.0,10.874322568974224
FL,12,Seminole,117,442905.0,11.972093338300539
FL,12,Sumter,119,113589.0,9.105635228763349
FL,12,Suwannee,121,43653.0,21.8450049252056
FL,12,Taylor,123,22582.0,12.16012753520503
FL,12,Union,125,15159.0,14.723926380368098
FL,12,Volusia,127,510806.0,16.37803784607072
FL,12,Wakulla,129,31314.0,12.678035383534521
FL,12,Walton,131,61528.0,16.832986607723313
FL,12,Washington,133,24627.0,18.402566289032364
GA,13,Appling,001,18410.0,20.06518196632265
GA,13,Atkinson,003,8268.0,27.45524915336236
GA,13,Bacon,005,11251.0,17.322904630699494
GA,13,Baker,007,3250.0,15.661538461538461
GA,13,Baldwin,009,45808.0,27.294359063918964
GA,13,Banks,011,18336.0,15.472294938917976
GA,13,Barrow,013,73340.0,14.382328879192801
GA,13,Bartow,015,101942.0,14.615173333856507
GA,13,Ben Hill,017,17405.0,34.1740879057742
GA,13,Berrien,019,18986.0,25.339724007163174
GA,13,Bibb,021,154194.0,26.63852030558906
GA,13,Bleckley,023,12835.0,20.202571094663032
GA,13,Brantley,025,18403.0,20.898766505461065
GA,13,Brooks,027,15645.0,24.410354745925215
GA,13,Bryan,029,34104.0,13.221323011963406
GA,13,Bulloch,031,73141.0,28.605023174416537
GA,13,Burke,033,22838.0,30.046413871617478
GA,13,Butts,035,23479.0,18.122577622556328
GA,13,Calhoun,037,6443.0,23.110352320347666
GA,13,Camden,039,52092.0,13.493434692467174
GA,13,Candler,043,10962.0,28.781244298485678
GA,13,Carroll,045,113756.0,18.598579415591267
GA,13,Catoosa,047,65645.0,11.729758549775307
GA,13,Charlton,049,12968.0,18.661320172732882
GA,13,Chatham,051,282613.0,17.178969120316474
GA,13,Chattahoochee,053,11882.0,9.880491499747517
GA,13,Chattooga,055,25046.0,20.689930527828796
GA,13,Cherokee,057,230629.0,9.925464707387189
GA,13,Clarke,059,122037.0,32.22547260257135
GA,13,Clay,061,3068.0,39.08083441981747
GA,13,Clayton,063,270269.0,23.800731863439758
GA,13,Clinch,065,6814.0,34.75198121514529
GA,13,Cobb,067,728388.0,11.460787382548862
GA,13,Coffee,069,43042.0,22.345615910041356
GA,13,Colquitt,071,46002.0,24.5750184774575
GA,13,Columbia,073,139904.0,9.452910567246112
GA,13,Cook,075,17103.0,25.89604163012337
GA,13,Coweta,077,135625.0,11.898986175115207
GA,13,Crawford,079,12483.0,18.76952655611632
GA,13,Crisp,081,23061.0,32.25792463466458
GA,13,Dade,083,16356.0,15.297138664710198
GA,13,Dawson,085,22939.0,13.20022668817298
GA,13,Decatur,087,27237.0,25.278114329772002
GA,13,DeKalb,089,723902.0,18.6254493011485
GA,13,Dodge,091,20995.0,20.095260776375326
GA,13,Dooly,093,14089.0,21.38547803250763
GA,13,Dougherty,095,92326.0,29.224703767086194
GA,13,Douglas,097,138283.0,15.045233325860735
GA,13,Early,099,10480.0,30.68702290076336
GA,13,Echols,101,4025.0,30.161490683229815
GA,13,Effingham,103,55852.0,10.715820382439304
GA,13,Elbert,105,19394.0,19.428689285345982
GA,13,Emanuel,107,22723.0,28.451348853584474
GA,13,Evans,109,10733.0,24.904500139755893
GA,13,Fannin,111,24017.0,17.745763417579216
GA,13,Fayette,113,109495.0,7.09986757386182
GA,13,Floyd,115,96199.0,18.910799488560173
GA,13,Forsyth,117,203841.0,6.389293616102747
GA,13,Franklin,119,22188.0,24.454660176672075
GA,13,Fulton,121,996757.0,16.420652175003536
GA,13,Gilmer,123,28956.0,19.18773311230833
GA,13,Glascock,125,3053.0,14.73960039305601
GA,13,Glynn,127,82623.0,18.36897716132312
GA,13,Gordon,129,56079.0,20.307066816455357
GA,13,Grady,131,25145.0,29.17876317359316
GA,13,Greene,133,16535.0,24.088297550650136
GA,13,Gwinnett,135,874242.0,12.925368490646754
GA,13,Habersham,137,43724.0,17.08672582563352
GA,13,Hall,139,190482.0,17.50821599941202
GA,13,Hancock,141,8747.0,24.133988796158683
GA,13,Haralson,143,28667.0,19.956744689015245
GA,13,Harris,145,32992.0,8.250484966052376
GA,13,Hart,147,25518.0,20.487499020299396
GA,13,Heard,149,11571.0,16.679630109757152
GA,13,Henry,151,214171.0,11.979679788580153
GA,13,Houston,153,149137.0,17.709220381260184
GA,13,Irwin,155,9365.0,23.67325146823278
GA,13,Jackson,157,62131.0,13.407155848127344
GA,13,Jasper,159,13571.0,19.784835310588754
GA,13,Jeff Davis,161,14953.0,20.59118571524109
GA,13,Jefferson,163,16201.0,27.992099253132523
GA,13,Jenkins,165,9055.0,28.039757040309222
GA,13,Johnson,167,9694.0,24.375902620177428
GA,13,Jones,169,28701.0,13.54656632173095
GA,13,Lamar,171,18195.0,20.58807364660621
GA,13,Lanier,173,10382.0,27.22982084376806
GA,13,Laurens,175,47802.0,27.136939876992596
GA,13,Lee,177,29134.0,11.44367405780188
GA,13,Liberty,179,63949.0,16.330200628625935
GA,13,Lincoln,181,7712.0,25.142634854771785
GA,13,Long,183,17243.0,16.035492663689613
GA,13,Lowndes,185,113898.0,24.0882192839207
GA,13,Lumpkin,187,31094.0,20.666366501575865
GA,13,McDuffie,189,21558.0,25.684200760738474
GA,13,McIntosh,191,13941.0,19.99856538268417
GA,13,Macon,193,13846.0,28.145312725696954
GA,13,Madison,195,28362.0,15.9368168676398
GA,13,Marion,197,8646.0,24.87855655794587
GA,13,Meriwether,199,21195.0,23.321538098608162
GA,13,Miller,201,5911.0,24.37827778717645
GA,13,Mitchell,205,22778.0,26.714373518307138
GA,13,Monroe,207,27044.0,12.642360597544743
GA,13,Montgomery,209,9005.0,20.866185452526373
GA,13,Morgan,211,17943.0,13.119322298389344
GA,13,Murray,213,39358.0,18.58580212409167
GA,13,Muscogee,215,200303.0,19.972741296935144
GA,13,Newton,217,103901.0,16.761147630917893
GA,13,Oconee,219,35071.0,7.085626300932394
GA,13,Oglethorpe,221,14743.0,17.716882588347012
GA,13,Paulding,223,149830.0,10.661416271774678
GA,13,Peach,225,26907.0,19.348125023228157
GA,13,Pickens,227,29992.0,10.196052280608162
GA,13,Pierce,229,19030.0,19.77929584866001
GA,13,Pike,231,17843.0,11.88141007678081
GA,13,Polk,233,41263.0,19.942805903594017
GA,13,Pulaski,235,11460.0,20.43630017452007
GA,13,Putnam,237,21259.0,17.531398466531822
GA,13,Quitman,239,2095.0,25.68019093078759
GA,13,Rabun,241,16312.0,21.401422265816578
GA,13,Randolph,243,7224.0,27.93466223698782
GA,13,Richmond,245,201418.0,24.076795519764868
GA,13,Rockdale,247,87569.0,16.972901369205996
GA,13,Schley,249,5089.0,21.8707015130674
GA,13,Screven,251,14114.0,24.266685560436446
GA,13,Seminole,253,8696.0,18.847746090156395
GA,13,Spalding,255,64006.0,23.119707527419305
GA,13,Stephens,257,25584.0,19.52392120075047
GA,13,Stewart,259,5791.0,28.7687791400449
GA,13,Sumter,261,31070.0,31.37753459929192
GA,13,Talbot,263,6373.0,20.508394790522516
GA,13,Taliaferro,265,1904.0,31.144957983193276
GA,13,Tattnall,267,25260.0,20.94220110847189
GA,13,Taylor,269,8354.0,27.651424467321043
GA,13,Telfair,271,16405.0,22.01158183480646
GA,13,Terrell,273,9132.0,33.431887866841876
GA,13,Thomas,275,44977.0,20.848433643862418
GA,13,Tift,277,40691.0,26.143373227495022
GA,13,Toombs,279,27160.0,26.2039764359352
GA,13,Towns,281,10976.0,13.921282798833818
GA,13,Treutlen,283,6711.0,17.6426762032484
GA,13,Troup,285,69314.0,20.757711284877512
GA,13,Turner,287,8151.0,26.46301067353699
GA,13,Twiggs,289,8363.0,29.94140858543585
GA,13,Union,291,22033.0,12.80806063631825
GA,13,Upson,293,26394.0,22.391452602864288
GA,13,Walker,295,68143.0,18.010654065714746
GA,13,Walton,297,87436.0,12.998078594629215
GA,13,Ware,299,35671.0,26.099632754898938
GA,13,Warren,301,5504.0,26.017441860465116
GA,13,Washington,303,20680.0,24.158607350096712
GA,13,Wayne,305,30006.0,18.942878091048456
GA,13,Webster,307,2672.0,22.305389221556887
GA,13,Wheeler,309,7932.0,17.4357034795764
GA,13,White,311,28140.0,18.994314143567873
GA,13,Whitfield,313,103653.0,19.416707668856667
GA,13,Wilcox,315,8884.0,16.0063034669068
GA,13,Wilkes,317,9924.0,26.400644901249496
GA,13,Wilkinson,319,9312.0,20.564862542955325
GA,13,Worth,321,20988.0,18.281875357347054
HI,15,Hawaii,001,193680.0,18.451569599339116
HI,15,Honolulu,003,986999.0,9.154923155950513
HI,15,Kalawao,005,91.0,12.087912087912088
